#frame timestamp_s tracking_time_s
407 1305031467.695885897 0.081422813
408 1305031467.727535009 0.081486575
409 1305031467.759907007 0.081501834
410 1305031467.796075106 0.081675015
411 1305031467.827800035 0.081733547
412 1305031467.859729052 0.081762478
413 1305031467.895946980 0.081791237
414 1305031467.927753925 0.081842922
415 1305031467.959825993 0.081877194
416 1305031467.995754004 0.081992328
417 1305031468.028106928 0.082037359
418 1305031468.059849977 0.082060121
419 1305031468.095866919 0.082193956
420 1305031468.127815962 0.082382284
421 1305031468.159863949 0.082435638
422 1305031468.195985079 0.082586803
423 1305031468.228157997 0.082756095
424 1305031468.259753942 0.082836024
425 1305031468.295830011 0.082849838
426 1305031468.327847004 0.082944334
427 1305031468.359786987 0.082975313
428 1305031468.395859957 0.083228298
429 1305031468.428025007 0.083299793
430 1305031468.459758997 0.083340406
431 1305031468.495809078 0.083597958
432 1305031468.527755976 0.083608903
433 1305031468.559739113 0.083648548
434 1305031468.595767975 0.083867215
435 1305031468.627625942 0.083871230
436 1305031468.659579039 0.084005103
437 1305031468.695835114 0.084105782
438 1305031468.727785110 0.084161319
439 1305031468.759628057 0.084287062
440 1305031468.795795918 0.084544890
441 1305031468.829246998 0.084582150
442 1305031468.859658957 0.084786594
443 1305031468.895873070 0.084813461
444 1305031468.928141117 0.084938757
445 1305031468.959594011 0.084941663
446 1305031468.995711088 0.085145593
447 1305031469.027698994 0.085167348
448 1305031469.059832096 0.085493363
449 1305031469.095722914 0.085494064
450 1305031469.127679110 0.085572302
451 1305031469.159703016 0.085701123
452 1305031469.195539951 0.085747413
453 1305031469.227754116 0.086394504
454 1305031469.259586096 0.086410984
455 1305031469.296753883 0.086566649
456 1305031469.327617884 0.086979493
457 1305031469.359591961 0.087087452
458 1305031469.395694971 0.087318271
459 1305031469.427650928 0.087767668
460 1305031469.459667921 0.088035762
461 1305031469.495743990 0.088169061
462 1305031469.527621984 0.088700160
463 1305031469.559644938 0.089061469
464 1305031469.595755100 0.089365654
465 1305031469.627752066 0.089457601
466 1305031469.659590006 0.089518987
467 1305031469.695612907 0.089594685
468 1305031469.727679014 0.089700580
469 1305031469.759598970 0.089964777
470 1305031469.795620918 0.090041593
471 1305031469.827526093 0.090101667
472 1305031469.859574080 0.090385720
473 1305031469.895755053 0.090483308
474 1305031469.927854061 0.090833955
475 1305031469.959805012 0.091374747
476 1305031469.995551109 0.092121609
477 1305031470.027693987 0.092128769
478 1305031470.059638023 0.092554525
479 1305031470.095943928 0.092571527
480 1305031470.127633095 0.092828952
481 1305031470.159626007 0.092840299
482 1305031470.196091890 0.092852712
483 1305031470.227617979 0.092898004
484 1305031470.259964943 0.092969723
485 1305031470.295717955 0.093316205
486 1305031470.327644110 0.093366444
487 1305031470.359623909 0.093626112
488 1305031470.395823002 0.093724571
489 1305031470.427640915 0.094204031
490 1305031470.459721088 0.094325788
491 1305031470.495686054 0.094483025
492 1305031470.527688980 0.094602540
493 1305031470.559676886 0.095069334
494 1305031470.595760107 0.095339350
495 1305031470.627728939 0.096282706
496 1305031470.659689903 0.096735336
497 1305031470.695630074 0.096789554
498 1305031470.727653980 0.098085098
499 1305031470.759681940 0.098346412
500 1305031470.795614958 0.098531999
501 1305031470.827831030 0.099101380
502 1305031470.859644890 0.099236459
503 1305031470.895721912 0.100161277
504 1305031470.927684069 0.100322962
505 1305031470.959646940 0.100563847
506 1305031470.995995998 0.102238514
507 1305031471.027643919 0.103311211
508 1305031471.059636116 0.103539206
509 1305031471.095777035 0.103938609
510 1305031471.127662897 0.104297459
511 1305031471.159648895 0.104611821
512 1305031471.195703030 0.105661869
513 1305031471.227569103 0.106177494
514 1305031471.259721994 0.106206790
515 1305031471.296067953 0.108346917
516 1305031471.327641964 0.108678691
517 1305031471.359615088 0.108757667
518 1305031471.395730019 0.108873226
519 1305031471.427704096 0.108901478
520 1305031471.459646940 0.109831214
521 1305031471.496490955 0.111137830
522 1305031471.527623892 0.112168431
523 1305031471.559670925 0.112970792
524 1305031471.595701933 0.112972811
525 1305031471.627620935 0.113151804
526 1305031471.659641981 0.113464393
527 1305031471.695609093 0.114002317
528 1305031471.727500916 0.114163205
529 1305031471.759701967 0.114247501
530 1305031471.795800924 0.114391923
531 1305031471.827639103 0.116648972
532 1305031471.859664917 0.117329799
533 1305031471.895603895 0.119756013
534 1305031471.927650928 0.122890644
535 1305031471.959642887 0.124317519
536 1305031471.995573044 0.124785662
537 1305031472.027637959 0.127592415
538 1305031472.059668064 0.127825186
539 1305031472.095601082 0.127877578
540 1305031472.127593994 0.128635600
541 1305031472.159645081 0.130800873
542 1305031472.195682049 0.131622076
543 1305031472.227626085 0.132339895
544 1305031472.263839960 0.132639691
545 1305031472.295670986 0.133505106
546 1305031472.327677965 0.135652691
547 1305031472.363576889 0.137923464
548 1305031472.395598888 0.142578155
549 1305031472.427685976 0.143873632
550 1305031472.463603020 0.146187305
551 1305031472.495625973 0.146636888
552 1305031472.527625084 0.148269504
553 1305031472.563586950 0.149268970
554 1305031472.595674992 0.152706683
555 1305031472.627701044 0.158102155
556 1305031472.663574934 0.158928081
557 1305031472.695755005 0.159459516
558 1305031472.727627993 0.160972834
559 1305031472.763577938 0.167181537
560 1305031472.795639992 0.169250339
561 1305031472.827626944 0.170528203
562 1305031472.863598108 0.173659652
563 1305031472.895713091 0.183609813
564 1305031472.927685022 0.189414918
565 1305031472.963756084 0.202071443
566 1305031472.995703936 0.217435032
567 1305031473.027637959 0.218336955
568 1305031473.063683987 0.218419239
569 1305031473.095695019 0.219517350
570 1305031473.127743959 0.221582994
571 1305031473.167059898 0.228135139
572 1305031473.196069002 0.233663753
