#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,78.562626,3.526113,0.000000,20.158966,19.640990,0.064629,123.603882
0.000000,0.000000,76.402907,5.335336,0.000000,18.496039,21.989263,0.003055,133.163972
0.000000,0.000000,73.349808,4.630010,0.000000,21.105050,22.355038,-0.274833,130.060263
0.000000,0.000000,67.640179,5.194207,0.000000,24.716050,20.929347,1.879136,109.476597
0.000000,0.000000,75.832172,3.390115,0.000000,22.869662,25.276897,0.000000,120.497154
0.000000,0.000000,77.291287,4.289624,0.000000,24.557441,20.805238,0.000000,135.519894
0.000000,0.000000,75.121549,3.496854,0.000000,19.001107,22.277779,0.000000,117.841606
0.000000,0.000000,84.404087,4.349457,0.000000,22.962957,24.002206,0.000000,133.865522
0.000000,0.000000,72.230374,3.123913,0.000000,18.227875,26.596625,0.000000,117.330000
0.000000,0.000000,74.541055,3.725481,0.000000,21.517675,23.016827,0.000000,119.750384
0.000000,0.000000,79.694356,3.360003,0.000000,20.294873,16.500040,0.000000,129.033199
0.000000,0.000000,75.398232,3.580761,0.000000,20.190485,21.524009,0.000000,120.211472
0.000000,0.000000,80.768067,3.356041,0.000000,23.316842,29.257728,2.447652,126.235041
0.000000,0.000000,84.899008,3.126654,0.000000,16.005230,16.903184,0.000000,131.749413
0.000000,0.000000,81.620522,3.944331,0.000000,21.723025,24.175593,0.000000,133.594783
0.000000,0.000000,71.479475,3.952516,0.000000,16.892833,24.730717,0.000000,118.776819
0.000000,0.000000,75.187772,3.109969,0.000000,18.897516,19.311956,0.000000,123.755770
0.000000,0.000000,86.125625,3.443410,0.000000,21.220086,31.508983,0.000000,131.040587
0.000000,0.000000,83.301635,3.311097,0.000000,0.000000,0.000000,0.000000,128.981144
0.000000,0.000000,68.980499,4.953932,0.000000,0.000000,0.000000,0.000000,119.545886
0.000000,0.000000,74.865405,3.233690,0.000000,0.000000,0.000000,0.000000,126.237505
0.000000,0.000000,84.520086,3.377485,0.000000,0.000000,0.000000,0.000000,137.859297
0.000000,0.000000,85.428706,4.083163,0.000000,0.000000,216.000000,0.000000,136.631568
0.000000,0.000000,75.692729,4.003331,0.000000,0.000000,0.000000,0.000000,123.071055
0.000000,0.000000,75.661137,3.215597,0.000000,0.000000,0.000000,0.000000,127.825878
0.000000,0.000000,75.888802,3.243727,0.000000,0.000000,0.000000,0.000000,125.688177
0.000000,0.000000,68.301081,3.650908,0.000000,0.000000,0.000000,0.000000,118.486305
0.000000,0.000000,74.713610,3.800851,0.000000,0.000000,0.000000,0.000000,117.054337
0.000000,0.000000,76.203465,3.509132,0.000000,0.000000,0.000000,0.000000,124.169784
0.000000,0.000000,75.184364,3.703482,0.000000,0.000000,0.000000,0.000000,133.439619
0.000000,0.000000,68.699558,3.337207,0.000000,0.000000,0.000000,0.000000,106.751421
0.000000,0.000000,82.615494,3.664612,0.000000,0.000000,0.000000,0.000000,134.121186
0.000000,0.000000,83.358690,3.247560,0.000000,0.000000,0.000000,0.000000,130.246243
0.000000,0.000000,73.146736,3.306874,0.000000,0.000000,0.000000,0.000000,116.455603
0.000000,0.000000,85.638519,3.366485,0.000000,0.000000,0.000000,0.000000,143.393168
